"Date","Price","Open","High","Low","Change %"
"Aug 27, 2017","63.980","63.890","64.125","63.855","-0.04"
"Aug 20, 2017","64.005","64.075","64.157","64.005","-0.14"
"Aug 13, 2017","64.095","63.985","64.328","63.935","-0.07"
"Aug 06, 2017","64.140","63.715","64.270","63.620","0.73"
"Jul 30, 2017","63.675","64.161","64.294","63.611","-0.69"
"Jul 23, 2017","64.115","64.415","64.465","64.065","-0.42"
"Jul 16, 2017","64.385","64.355","64.460","64.245","-0.06"
"Jul 09, 2017","64.424","64.608","64.638","64.424","-0.31"
"Jul 02, 2017","64.625","64.675","64.930","64.540","0.01"
"Jun 25, 2017","64.620","64.465","64.840","64.405","0.18"
"Jun 18, 2017","64.505","64.445","64.700","64.340","0.06"
"Jun 11, 2017","64.465","64.355","64.750","64.245","0.34"
"Jun 04, 2017","64.245","64.320","64.515","64.167","-0.26"
"May 28, 2017","64.415","64.495","64.707","64.345","-0.15"
"May 21, 2017","64.510","64.505","64.955","64.425","-0.09"
"May 14, 2017","64.565","64.110","65.025","63.985","0.50"
"May 07, 2017","64.243","64.245","64.700","64.195","-0.11"
"Apr 30, 2017","64.315","64.285","64.395","64.115","0.04"
"Apr 23, 2017","64.290","64.553","64.558","63.940","-0.56"
"Apr 16, 2017","64.650","64.440","64.738","64.305","0.26"
"Apr 09, 2017","64.480","64.320","64.745","64.278","0.33"
"Apr 02, 2017","64.270","64.804","65.174","64.154","-0.91"
"Mar 26, 2017","64.860","65.280","65.280","64.800","-0.86"
"Mar 19, 2017","65.425","65.425","65.590","65.225","-0.08"
"Mar 12, 2017","65.475","66.155","66.265","65.255","-1.62"
"Mar 05, 2017","66.555","66.800","66.880","66.555","-0.34"
"Feb 26, 2017","66.780","66.740","66.920","66.650","0.20"
"Feb 19, 2017","66.645","67.085","67.085","66.615","-0.65"
"Feb 12, 2017","67.080","66.920","67.167","66.800","0.34"
"Feb 05, 2017","66.854","67.241","67.486","66.741","-0.49"
"Jan 29, 2017","67.184","68.105","68.119","67.184","-1.35"
"Jan 22, 2017","68.105","68.096","68.255","67.980","0.04"
"Jan 15, 2017","68.075","68.183","68.335","67.870","-0.15"
"Jan 08, 2017","68.180","68.126","68.511","67.960","0.10"
"Jan 01, 2017","68.115","67.970","68.455","67.745","0.24"
"Dec 25, 2016","67.955","67.841","68.261","67.705","0.17"
"Dec 18, 2016","67.837","67.850","68.111","67.708","-0.03"
"Dec 11, 2016","67.855","67.471","67.950","67.370","0.57"
"Dec 04, 2016","67.470","68.026","68.280","67.318","-0.82"
"Nov 27, 2016","68.031","68.519","68.810","68.010","-0.71"
"Nov 20, 2016","68.519","68.185","68.881","68.020","0.48"
"Nov 13, 2016","68.191","67.520","68.250","67.460","0.93"
"Nov 06, 2016","67.565","66.820","67.565","66.252","1.15"
"Oct 30, 2016","66.796","66.779","66.870","66.630","0.03"
"Oct 23, 2016","66.778","66.919","66.960","66.691","-0.22"
"Oct 16, 2016","66.926","66.718","67.005","66.610","0.31"
"Oct 09, 2016","66.717","66.602","66.990","66.473","0.17"
"Oct 02, 2016","66.602","66.556","66.890","66.373","0.07"
"Sep 25, 2016","66.556","66.707","66.955","66.327","-0.23"
"Sep 18, 2016","66.707","67.076","67.145","66.530","-0.55"
"Sep 11, 2016","67.075","66.850","67.148","66.727","0.27"
"Sep 04, 2016","66.895","66.625","66.895","66.275","0.15"
"Aug 28, 2016","66.795","67.169","67.247","66.617","-0.51"
"Aug 21, 2016","67.136","67.139","67.370","66.831","-0.00"
"Aug 14, 2016","67.137","66.910","67.205","66.688","0.34"
"Aug 07, 2016","66.908","66.840","66.985","66.600","0.10"
"Jul 31, 2016","66.842","66.720","67.015","66.570","0.28"
"Jul 24, 2016","66.655","67.165","67.495","66.625","-0.74"
"Jul 17, 2016","67.154","67.096","67.273","67.012","0.02"
"Jul 10, 2016","67.141","67.139","67.308","66.802","0.00"
"Jul 03, 2016","67.139","67.190","67.555","67.070","-0.08"
"Jun 26, 2016","67.190","67.888","68.090","67.150","-1.02"
"Jun 19, 2016","67.885","67.074","68.223","67.073","1.21"
"Jun 12, 2016","67.074","66.960","67.454","66.900","0.18"
"Jun 05, 2016","66.952","66.887","67.055","66.451","-0.07"
"May 29, 2016","67.000","67.040","67.519","67.000","-0.05"
"May 22, 2016","67.031","67.430","67.780","66.875","-0.56"
"May 15, 2016","67.408","66.925","67.610","66.675","0.83"
"May 08, 2016","66.855","66.601","66.925","66.395","0.38"
"May 01, 2016","66.600","66.425","66.715","66.235","0.26"
"Apr 24, 2016","66.425","66.660","66.852","66.290","-0.35"
"Apr 17, 2016","66.660","66.660","66.731","66.095","0.00"
"Apr 10, 2016","66.660","66.555","66.690","66.271","0.16"
"Apr 03, 2016","66.551","66.310","66.826","66.024","0.28"
"Mar 27, 2016","66.365","66.790","66.912","66.130","-0.69"
"Mar 20, 2016","66.829","66.383","66.956","66.383","0.67"
"Mar 13, 2016","66.384","66.973","67.460","66.256","-0.80"
"Mar 06, 2016","66.921","66.989","67.515","66.895","-0.03"
"Feb 28, 2016","66.938","68.737","68.792","66.881","-2.62"
"Feb 21, 2016","68.737","68.690","68.909","68.384","0.28"
"Feb 14, 2016","68.545","68.119","68.690","68.010","0.63"
"Feb 07, 2016","68.118","67.880","68.496","67.780","0.45"
"Jan 31, 2016","67.810","67.878","68.265","67.495","-0.10"
"Jan 24, 2016","67.878","67.579","68.265","67.493","0.49"
"Jan 17, 2016","67.549","67.791","68.180","67.500","-0.33"
"Jan 10, 2016","67.775","66.874","67.869","66.708","1.39"
"Jan 03, 2016","66.847","66.165","66.981","66.165","0.92"
"Dec 27, 2015","66.235","66.030","66.495","66.030","0.32"
"Dec 20, 2015","66.025","66.319","66.385","65.946","-0.35"
"Dec 13, 2015","66.255","67.100","67.180","66.228","-1.33"
"Dec 06, 2015","67.148","66.644","67.148","66.570","0.76"
"Nov 29, 2015","66.643","66.835","66.995","66.385","-0.39"
"Nov 22, 2015","66.907","66.095","66.910","66.057","1.29"
"Nov 15, 2015","66.058","66.079","66.325","65.853","-0.00"
"Nov 08, 2015","66.059","66.420","66.500","66.005","-0.12"
"Nov 01, 2015","66.140","65.413","66.140","65.330","1.10"
"Oct 25, 2015","65.423","64.964","65.470","64.788","0.82"
"Oct 18, 2015","64.892","64.703","65.230","64.681","0.29"
"Oct 11, 2015","64.703","64.779","65.192","64.639","-0.12"
"Oct 04, 2015","64.780","65.155","65.440","64.689","-0.89"
"Sep 27, 2015","65.364","66.160","66.441","65.358","-1.22"
"Sep 20, 2015","66.170","65.869","66.380","65.560","0.46"
"Sep 13, 2015","65.868","66.242","66.520","65.670","-0.56"
"Sep 06, 2015","66.241","66.726","66.913","66.238","-0.67"
"Aug 30, 2015","66.685","66.150","66.785","66.040","0.81"
"Aug 23, 2015","66.150","66.390","66.910","65.865","0.18"
"Aug 16, 2015","66.034","65.097","66.045","65.061","1.39"
"Aug 09, 2015","65.129","63.744","65.380","63.707","2.18"
"Aug 02, 2015","63.739","63.996","64.190","63.650","-0.39"
"Jul 26, 2015","63.988","64.160","64.270","63.740","-0.18"
"Jul 19, 2015","64.106","63.483","64.180","63.470","0.97"
"Jul 12, 2015","63.492","63.359","63.610","63.265","0.21"
"Jul 05, 2015","63.358","63.427","63.660","63.254","-0.08"
"Jun 28, 2015","63.411","63.523","63.950","63.296","-0.06"
"Jun 21, 2015","63.452","63.532","63.710","63.440","-0.08"
"Jun 14, 2015","63.500","64.100","64.330","63.420","-0.94"
"Jun 07, 2015","64.100","64.111","64.200","63.750","0.52"
"May 31, 2015","63.770","63.733","64.270","63.530","0.04"
"May 24, 2015","63.743","63.511","64.170","63.490","0.40"
"May 17, 2015","63.490","63.442","63.900","63.425","0.08"
"May 10, 2015","63.440","63.705","64.390","63.347","-0.43"
"May 03, 2015","63.711","63.692","64.290","63.310","-0.01"
"Apr 26, 2015","63.719","63.747","63.780","63.027","0.09"
"Apr 19, 2015","63.662","62.554","63.683","62.500","1.78"
"Apr 12, 2015","62.550","62.184","62.575","62.180","0.44"
"Apr 05, 2015","62.276","61.930","62.430","61.930","0.51"
"Mar 29, 2015","61.960","62.534","62.700","61.936","-0.90"
"Mar 22, 2015","62.523","62.410","62.851","62.140","0.18"
"Mar 15, 2015","62.410","63.094","63.145","62.375","-1.07"
"Mar 08, 2015","63.083","62.473","63.126","62.398","1.00"
"Mar 01, 2015","62.460","61.712","62.463","61.659","1.30"
"Feb 22, 2015","61.659","62.270","62.360","61.658","-0.72"
"Feb 15, 2015","62.109","62.114","62.361","62.005","0.05"
"Feb 08, 2015","62.076","62.058","62.540","61.930","0.17"
"Feb 01, 2015","61.970","61.999","62.080","61.560","-0.08"
"Jan 25, 2015","62.020","61.510","62.035","61.265","0.94"
"Jan 18, 2015","61.440","61.650","61.910","61.373","-0.70"
"Jan 11, 2015","61.870","62.350","62.350","61.485","-0.78"
"Jan 04, 2015","62.355","63.440","63.630","62.300","-1.47"
"Dec 28, 2014","63.285","63.675","63.805","63.045","-0.44"
"Dec 21, 2014","63.562","63.245","63.690","63.135","0.50"
"Dec 14, 2014","63.245","62.205","63.885","62.205","1.15"
"Dec 07, 2014","62.525","61.980","62.535","61.770","0.98"
"Nov 30, 2014","61.918","62.065","62.245","61.780","-0.47"
"Nov 23, 2014","62.210","61.705","62.250","61.665","0.72"
"Nov 16, 2014","61.767","61.625","62.225","61.625","0.08"
"Nov 09, 2014","61.715","61.460","61.860","61.370","0.32"
"Nov 02, 2014","61.520","61.515","61.700","61.300","0.19"
"Oct 26, 2014","61.405","61.185","61.615","61.162","0.38"
"Oct 19, 2014","61.170","61.310","61.380","61.010","-0.32"
"Oct 12, 2014","61.365","61.285","61.950","60.935","0.13"
"Oct 05, 2014","61.285","61.465","61.530","60.910","-0.42"
"Sep 28, 2014","61.545","61.150","61.960","61.150","0.65"
"Sep 21, 2014","61.145","60.785","61.625","60.745","0.47"
"Sep 14, 2014","60.860","60.660","61.215","60.660","0.34"
"Sep 07, 2014","60.655","60.295","61.040","60.203","0.43"
"Aug 31, 2014","60.395","60.510","60.695","60.335","-0.21"
"Aug 24, 2014","60.520","60.565","60.707","60.360","0.08"
"Aug 17, 2014","60.470","60.775","60.885","60.365","-0.51"
"Aug 10, 2014","60.780","61.095","61.315","60.775","-0.60"
"Aug 03, 2014","61.145","61.205","61.745","60.695","-0.11"
"Jul 27, 2014","61.215","60.060","61.225","60.060","1.92"
"Jul 20, 2014","60.060","60.295","60.350","59.935","-0.37"
"Jul 13, 2014","60.285","59.960","60.455","59.905","0.32"
"Jul 06, 2014","60.095","59.815","60.315","59.585","0.62"
"Jun 29, 2014","59.725","60.035","60.270","59.530","-0.53"
"Jun 22, 2014","60.045","60.065","60.400","60.015","-0.22"
"Jun 15, 2014","60.175","59.715","60.545","59.715","0.78"
"Jun 08, 2014","59.710","59.110","59.810","58.980","0.90"
"Jun 01, 2014","59.175","59.105","59.455","59.065","-0.03"
"May 25, 2014","59.195","58.455","59.230","58.420","1.14"
"May 18, 2014","58.525","58.555","58.875","58.255","-0.10"
"May 11, 2014","58.585","59.915","60.125","58.585","-2.30"
"May 04, 2014","59.965","60.085","60.245","59.870","-0.37"
"Apr 27, 2014","60.185","60.615","60.750","60.105","-0.76"
"Apr 20, 2014","60.645","60.265","61.195","60.265","0.58"
"Apr 13, 2014","60.295","60.255","60.505","60.185","0.19"
"Apr 06, 2014","60.180","59.905","60.345","59.765","0.16"
"Mar 30, 2014","60.085","59.905","60.398","59.575","0.33"
"Mar 23, 2014","59.890","60.860","60.860","59.690","-1.66"
"Mar 16, 2014","60.900","61.125","61.385","60.865","-0.50"
"Mar 09, 2014","61.205","61.255","61.555","60.605","0.20"
"Mar 02, 2014","61.085","61.955","62.145","60.945","-1.15"
"Feb 23, 2014","61.795","62.105","62.160","61.755","-0.56"
"Feb 16, 2014","62.140","61.970","62.450","61.830","0.46"
"Feb 09, 2014","61.855","62.365","62.495","61.845","-0.72"
"Feb 02, 2014","62.305","62.705","62.835","62.250","-0.61"
"Jan 26, 2014","62.685","62.885","63.325","62.105","-0.02"
"Jan 19, 2014","62.695","61.685","62.745","61.465","1.87"
"Jan 12, 2014","61.545","61.605","61.715","61.320","-0.58"
"Jan 05, 2014","61.907","62.355","62.475","61.825","-0.46"
"Dec 29, 2013","62.190","61.998","62.565","61.718","0.40"
"Dec 22, 2013","61.940","62.113","62.175","61.724","-0.10"
"Dec 15, 2013","62.000","62.065","62.495","61.630","-0.31"
"Dec 08, 2013","62.195","60.840","62.297","60.840","1.24"
"Dec 01, 2013","61.435","62.355","62.538","61.273","-1.54"
"Nov 24, 2013","62.399","62.660","62.700","62.150","-0.53"
"Nov 17, 2013","62.733","62.825","63.095","61.880","-0.39"
"Nov 10, 2013","62.980","62.990","63.910","62.925","0.80"
"Nov 03, 2013","62.480","61.745","62.834","61.615","1.18"
"Oct 27, 2013","61.750","61.420","62.025","61.085","0.46"
"Oct 20, 2013","61.465","61.355","61.845","61.085","0.37"
"Oct 13, 2013","61.240","61.160","61.955","60.940","0.36"
"Oct 06, 2013","61.020","61.510","62.310","60.960","-0.68"
"Sep 29, 2013","61.435","62.985","63.035","61.255","-1.73"
"Sep 22, 2013","62.515","62.265","62.920","61.773","0.45"
"Sep 15, 2013","62.235","62.705","63.635","61.650","-1.81"
"Sep 08, 2013","63.380","64.415","64.555","62.925","-2.86"
"Sep 01, 2013","65.245","66.105","68.605","65.005","-0.70"
"Aug 25, 2013","65.705","63.695","68.805","63.643","3.96"
"Aug 18, 2013","63.205","62.365","65.575","62.240","2.50"
"Aug 11, 2013","61.665","60.495","62.015","60.495","1.62"
"Aug 04, 2013","60.680","61.023","61.868","60.680","-0.70"
"Jul 28, 2013","61.105","58.955","61.200","58.955","3.49"
"Jul 21, 2013","59.046","59.312","59.882","58.706","-0.50"
"Jul 14, 2013","59.340","59.940","60.085","59.050","-0.92"
"Jul 07, 2013","59.891","60.930","61.220","59.330","-0.56"
"Jun 30, 2013","60.230","59.475","60.600","58.971","1.17"
"Jun 23, 2013","59.533","59.595","60.770","59.210","0.44"
"Jun 16, 2013","59.275","57.695","59.980","57.555","3.08"
"Jun 09, 2013","57.505","57.265","58.995","57.172","0.77"
"Jun 02, 2013","57.065","56.515","57.135","56.315","0.86"
"May 26, 2013","56.580","55.760","56.770","55.530","1.36"
"May 19, 2013","55.820","55.060","56.020","54.950","1.69"
"May 12, 2013","54.895","54.913","55.035","54.550","0.16"
"May 05, 2013","54.810","53.810","54.900","53.780","1.86"
"Apr 28, 2013","53.810","54.408","54.408","53.640","-1.05"
"Apr 21, 2013","54.380","53.925","54.445","53.925","0.82"
"Apr 14, 2013","53.940","54.608","54.805","53.770","-1.06"
"Apr 07, 2013","54.520","54.798","54.850","54.260","-0.53"
"Mar 31, 2013","54.810","54.275","54.955","54.175","0.97"
"Mar 24, 2013","54.285","54.355","54.515","54.055","-0.12"
"Mar 17, 2013","54.350","54.010","54.570","53.900","0.59"
"Mar 10, 2013","54.030","54.330","54.531","53.980","-0.59"
"Mar 03, 2013","54.350","54.890","55.140","54.275","-1.01"
"Feb 24, 2013","54.905","54.265","54.945","53.605","1.15"
"Feb 17, 2013","54.280","54.215","54.625","54.030","-0.08"
"Feb 10, 2013","54.325","53.515","54.355","53.515","1.36"
"Feb 03, 2013","53.595","53.165","53.685","52.895","0.80"
"Jan 27, 2013","53.170","53.665","54.055","53.075","-1.17"
"Jan 20, 2013","53.800","53.725","53.970","53.385","0.10"
"Jan 13, 2013","53.745","54.770","54.900","53.715","-2.06"
"Jan 06, 2013","54.875","55.040","55.395","54.360","-0.12"
"Dec 30, 2012","54.940","54.810","55.185","54.170","0.33"
"Dec 23, 2012","54.760","55.035","55.215","54.685","-0.55"
"Dec 16, 2012","55.065","54.375","55.285","54.285","1.14"
"Dec 09, 2012","54.445","54.315","54.695","54.115","0.18"
"Dec 02, 2012","54.345","54.365","54.975","54.030","0.15"
"Nov 25, 2012","54.265","55.455","55.885","54.230","-2.14"
"Nov 18, 2012","55.450","55.160","55.610","54.790","0.52"
"Nov 11, 2012","55.165","54.585","55.195","54.585","1.04"
"Nov 04, 2012","54.595","53.885","54.808","53.765","1.45"
"Oct 28, 2012","53.815","53.855","54.209","53.602","0.49"
"Oct 21, 2012","53.555","53.825","53.895","53.340","-0.54"
"Oct 14, 2012","53.845","52.910","53.995","52.675","1.96"
"Oct 07, 2012","52.810","51.885","53.185","51.745","1.72"
"Sep 30, 2012","51.915","52.835","53.015","51.365","-1.78"
"Sep 23, 2012","52.855","53.410","53.635","52.505","-0.96"
"Sep 16, 2012","53.365","53.765","54.420","53.330","-1.73"
"Sep 09, 2012","54.305","55.305","55.545","54.295","-1.91"
